epoch,train_loss,val_loss,train_acc,val_acc,lr
121,0.5956441351148817,0.7343815838813782,0.9597777777777777,0.9052,0.034549150281252654
122,0.5928117240693834,0.7153097296714783,0.9616,0.9118,0.03380412909009253
123,0.5869577159351773,0.7416495189666749,0.9638222222222222,0.901,0.03306310398773544
124,0.5881114014731513,0.6987448505401611,0.9638444444444444,0.9178,0.03232625781103716
125,0.5877862718158298,0.7263661195755005,0.9640222222222222,0.9078,0.03159377236576612
126,0.5845811055713229,0.7115040404319763,0.9652888888888889,0.9132,0.03086582838174553
127,0.5836938651296828,0.7131112868309021,0.9654888888888888,0.9144,0.030142605468260968
128,0.5831516421847873,0.7051082143783569,0.9661111111111111,0.9172,0.029424282069744567
129,0.5791846159511143,0.6944140906333923,0.9676888888888889,0.9212,0.028711035421746373
130,0.5782613586001926,0.7183114362716675,0.9674888888888888,0.9124,0.028003041507204247
131,0.5758254195213318,0.7025902915954589,0.9689555555555556,0.917,0.027300475013022667
132,0.571608909257253,0.7055526731491089,0.9704888888888888,0.916,0.026603509286971343
133,0.5671736482938131,0.7028177947998047,0.9728,0.9174,0.025912316294914233
134,0.5681761446211073,0.750698450088501,0.9728222222222223,0.8968,0.025227066578379625
135,0.5639636178440518,0.7099292158126831,0.9742,0.9172,0.02454792921248144
136,0.5627896801100837,0.6857966493606568,0.9744444444444444,0.9254,0.023875071764202564
137,0.5581604163699679,0.6877546070098877,0.9762222222222222,0.923,0.02320866025105016
138,0.5604800149493747,0.6921163822174072,0.9751777777777778,0.919,0.022548859100093407
139,0.5564916530821058,0.7180079836845398,0.977,0.9122,0.021895831107393467
140,0.5555395015504625,0.6957285539627075,0.9777777777777777,0.9202,0.021249737397836074
141,0.5539809372795953,0.7065137575149536,0.9780666666666666,0.9156,0.020610737385376353
142,0.552466953892178,0.6849557011604309,0.9794222222222222,0.9272,0.019978988733705808
143,0.5447435779571533,0.6768216197967529,0.9821555555555556,0.9286,0.019354647317351172
144,0.5390718228234185,0.7489232890129089,0.9848,0.9004,0.01873786718321474
145,0.5431797701941596,0.6741472298622131,0.9828888888888889,0.9298,0.01812880051256551
146,0.5398996496306525,0.7033630836486816,0.9842,0.9204,0.01752759758349082
